,season,score,batsman_name
0,2008,165.0,V Kohli
1,2009,246.0,V Kohli
2,2010,307.0,V Kohli
3,2011,557.0,V Kohli
4,2012,364.0,V Kohli
5,2013,639.0,V Kohli
6,2014,359.0,V Kohli
7,2015,505.0,V Kohli
8,2016,973.0,V Kohli
0,2008,421.0,SK Raina
1,2009,434.0,SK Raina
2,2010,528.0,SK Raina
3,2011,438.0,SK Raina
4,2012,441.0,SK Raina
5,2013,548.0,SK Raina
6,2014,523.0,SK Raina
7,2015,374.0,SK Raina
8,2016,399.0,SK Raina
0,2008,404.0,RG Sharma
1,2009,362.0,RG Sharma
2,2010,404.0,RG Sharma
3,2011,372.0,RG Sharma
4,2012,433.0,RG Sharma
5,2013,538.0,RG Sharma
6,2014,390.0,RG Sharma
7,2015,482.0,RG Sharma
8,2016,489.0,RG Sharma
0,2008,534.0,G Gambhir
1,2009,286.0,G Gambhir
2,2010,277.0,G Gambhir
3,2011,378.0,G Gambhir
4,2012,590.0,G Gambhir
5,2013,406.0,G Gambhir
6,2014,335.0,G Gambhir
7,2015,327.0,G Gambhir
8,2016,501.0,G Gambhir
0,2008,,CH Gayle
1,2009,184.0,CH Gayle
2,2010,292.0,CH Gayle
3,2011,608.0,CH Gayle
4,2012,733.0,CH Gayle
5,2013,720.0,CH Gayle
6,2014,196.0,CH Gayle
7,2015,491.0,CH Gayle
8,2016,227.0,CH Gayle
