,season,batting_team,batsman,batsman_runs
0,2008,Royal Challengers Bangalore,V Kohli,165
1,2009,Kolkata Knight Riders,CH Gayle,184
2,2009,Royal Challengers Bangalore,V Kohli,246
3,2010,Kolkata Knight Riders,CH Gayle,292
4,2010,Royal Challengers Bangalore,V Kohli,307
5,2011,Royal Challengers Bangalore,CH Gayle,608
6,2011,Royal Challengers Bangalore,V Kohli,557
7,2012,Royal Challengers Bangalore,CH Gayle,733
8,2012,Royal Challengers Bangalore,V Kohli,364
9,2013,Royal Challengers Bangalore,CH Gayle,720
10,2013,Royal Challengers Bangalore,V Kohli,639
11,2014,Royal Challengers Bangalore,CH Gayle,196
12,2014,Royal Challengers Bangalore,V Kohli,359
13,2015,Royal Challengers Bangalore,CH Gayle,491
14,2015,Royal Challengers Bangalore,V Kohli,505
15,2016,Royal Challengers Bangalore,CH Gayle,227
16,2016,Royal Challengers Bangalore,V Kohli,973
