,season,batting_team,batsman,Strike-Rate
0,2008,Royal Challengers Bangalore,V Kohli,96.23833333333334
1,2009,Kolkata Knight Riders,CH Gayle,131.75
2,2009,Royal Challengers Bangalore,V Kohli,108.98307692307692
3,2010,Kolkata Knight Riders,CH Gayle,138.1488888888889
4,2010,Royal Challengers Bangalore,V Kohli,129.44230769230768
5,2011,Royal Challengers Bangalore,CH Gayle,163.08333333333334
6,2011,Royal Challengers Bangalore,V Kohli,113.634375
7,2012,Royal Challengers Bangalore,CH Gayle,142.29285714285714
8,2012,Royal Challengers Bangalore,V Kohli,115.788
9,2013,Royal Challengers Bangalore,CH Gayle,137.39222222222222
10,2013,Royal Challengers Bangalore,V Kohli,131.01176470588237
11,2014,Royal Challengers Bangalore,CH Gayle,115.95666666666665
12,2014,Royal Challengers Bangalore,V Kohli,95.43928571428572
13,2015,Royal Challengers Bangalore,CH Gayle,150.325
14,2015,Royal Challengers Bangalore,V Kohli,123.331875
15,2016,Royal Challengers Bangalore,CH Gayle,94.066
16,2016,Royal Challengers Bangalore,V Kohli,133.42875
